Task_ID,Title,Description,Assignee,Created_Date,Due_Date,Completed_Date,Status,Priority,Estimated_Hours,Actual_Hours,Project,Labels/Tags,Task_Complexity,Predicted_Priority,Delay_Risk_Score,Completion_Probability,AI_Recommendation
15,UI Design,Testing task for Data Analytics project.,Hannah,20/02/2024,09/03/2024,09/03/2024,Completed,High,12,13,Smart Workflow,frontend,Medium,Critical,0.77,0.23,Increase resources for faster completion
16,Testing,Testing task for Smart Workflow project.,Diana,06/08/2024,13/08/2024,13/08/2024,Completed,Critical,15,14,Automation Bot,backend,Low,High,0.65,0.35,Maintain current workflow efficiency
17,Model Training,Bug Fix task for Productivity Suite project.,Charlie,26/06/2024,12/07/2024,12/07/2024,Completed,High,18,20,AI Task Manager,ML,Medium,Critical,0.76,0.24,Reassign to experienced member
18,UI Design,Model Training task for Data Analytics project.,Hannah,19/08/2024,25/08/2024,,Completed,High,11,11,Automation Bot,frontend,Medium,High,0.77,0.23,Review task dependencies
19,Documentation,Data Analysis task for Data Analytics project.,Bob,21/04/2024,07/05/2024,,In Progress,Medium,12,17,Data Analytics,NLP,High,Critical,0.73,0.27,Automate repetitive sub-tasks
20,Testing,User Feedback Integration task for Smart Workflow project.,George,13/11/2024,17/11/2024,17/11/2024,Completed,Critical,2,1,Productivity Suite,integration,Low,Low,0.86,0.14,Automate repetitive sub-tasks
21,UI Design,Documentation task for Productivity Suite project.,Hannah,22/05/2024,03/06/2024,03/06/2024,Completed,Critical,7,6,Automation Bot,NLP,High,Low,0.38,0.62,Review task dependencies
22,Bug Fix,Bug Fix task for Smart Workflow project.,Charlie,08/03/2024,17/03/2024,,In Progress,Low,9,9,Automation Bot,ML,High,Low,0.3,0.7,Maintain current workflow efficiency
23,User Feedback Integration,UI Design task for Smart Workflow project.,Fiona,06/01/2024,22/01/2024,22/01/2024,Completed,Low,19,20,Productivity Suite,frontend,Low,Low,0.75,0.25,Review task dependencies
24,User Feedback Integration,Model Training task for AI Task Manager project.,Ethan,13/12/2024,02/01/2025,02/01/2025,Completed,High,9,12,Data Analytics,integration,Low,Critical,0.63,0.37,Review task dependencies
25,User Feedback Integration,User Feedback Integration task for Automation Bot project.,Charlie,21/10/2024,25/10/2024,25/10/2024,Completed,High,15,16,AI Task Manager,database,Medium,Critical,0.57,0.43,Maintain current workflow efficiency
26,Data Analysis,Bug Fix task for Automation Bot project.,Bob,24/07/2024,03/08/2024,,Completed,Low,18,18,Smart Workflow,testing,Low,Medium,0.13,0.87,Maintain current workflow efficiency
27,UI Design,Model Training task for Data Analytics project.,Bob,10/12/2024,22/12/2024,,Completed,High,8,9,Productivity Suite,database,High,High,0.18,0.82,Review task dependencies
28,Backend API,Documentation task for Automation Bot project.,Hannah,11/05/2024,14/05/2024,14/05/2024,Completed,Low,12,17,Smart Workflow,testing,Low,Medium,0.07,0.93,Maintain current workflow efficiency
29,Documentation,Testing task for Smart Workflow project.,Hannah,20/08/2024,26/08/2024,26/08/2024,Completed,Low,8,7,AI Task Manager,ML,Low,Low,0.6,0.4,Reassign to experienced member
30,Testing,UI Design task for AI Task Manager project.,Diana,03/12/2024,19/12/2024,,In Progress,Low,5,7,Productivity Suite,backend,Low,Medium,0.06,0.94,Maintain current workflow efficiency
31,UI Design,Bug Fix task for Smart Workflow project.,Ethan,22/07/2024,30/07/2024,,To Do,High,19,17,AI Task Manager,backend,Medium,High,0.68,0.32,Automate repetitive sub-tasks
32,Bug Fix,Documentation task for AI Task Manager project.,Diana,18/12/2024,30/12/2024,,On Hold,Medium,13,17,AI Task Manager,testing,High,Critical,0.77,0.23,Review task dependencies
33,Testing,Documentation task for Smart Workflow project.,Charlie,01/05/2024,09/05/2024,09/05/2024,Completed,Medium,2,3,Productivity Suite,AI,Medium,Critical,0.49,0.51,Automate repetitive sub-tasks
34,Testing,Data Analysis task for Productivity Suite project.,Hannah,09/10/2024,30/10/2024,,Completed,Medium,3,5,AI Task Manager,integration,Medium,High,0.69,0.31,Review task dependencies
35,Data Analysis,Model Training task for Data Analytics project.,Ethan,15/09/2024,03/10/2024,03/10/2024,Completed,Critical,2,5,Smart Workflow,backend,Medium,Critical,0.05,0.95,Maintain current workflow efficiency
36,UI Design,User Feedback Integration task for AI Task Manager project.,George,04/10/2024,08/10/2024,,To Do,Low,4,7,Smart Workflow,NLP,High,High,0.6,0.4,Maintain current workflow efficiency
37,User Feedback Integration,Testing task for AI Task Manager project.,Hannah,16/01/2024,21/01/2024,21/01/2024,Completed,Medium,10,8,Automation Bot,ML,Low,Critical,0.68,0.32,Review task dependencies
38,Documentation,UI Design task for Automation Bot project.,Diana,13/10/2024,21/10/2024,21/10/2024,Completed,Critical,18,20,Smart Workflow,testing,Medium,Critical,0.91,0.09,Maintain current workflow efficiency
39,UI Design,Testing task for Productivity Suite project.,Alice,05/11/2024,26/11/2024,26/11/2024,Completed,Critical,18,17,Productivity Suite,AI,Medium,High,0.96,0.04,Reassign to experienced member
40,Testing,Documentation task for Data Analytics project.,Bob,19/08/2024,05/09/2024,,On Hold,Low,16,19,Smart Workflow,ML,Low,Critical,0.63,0.37,Automate repetitive sub-tasks
41,Backend API,Model Training task for Smart Workflow project.,Ethan,28/08/2024,04/09/2024,04/09/2024,Completed,High,7,6,Productivity Suite,frontend,Medium,Medium,0.99,0.01,Review task dependencies
42,Data Analysis,Data Analysis task for AI Task Manager project.,Bob,18/10/2024,26/10/2024,26/10/2024,Completed,Medium,3,3,Automation Bot,testing,Medium,High,0.87,0.13,Review task dependencies
43,Testing,UI Design task for Smart Workflow project.,George,28/06/2024,19/07/2024,19/07/2024,Completed,Low,20,19,Automation Bot,database,High,Critical,0.12,0.88,Reassign to experienced member
44,Documentation,Testing task for Productivity Suite project.,Charlie,16/03/2024,24/03/2024,,Completed,Medium,8,10,Data Analytics,testing,Low,High,0.55,0.45,Automate repetitive sub-tasks
45,UI Design,Bug Fix task for Productivity Suite project.,Diana,03/03/2024,16/03/2024,16/03/2024,Completed,Low,15,17,Data Analytics,AI,High,Medium,0.05,0.95,Maintain current workflow efficiency
46,Documentation,Documentation task for AI Task Manager project.,Fiona,16/07/2024,20/07/2024,20/07/2024,Completed,Critical,19,22,Automation Bot,frontend,High,High,0.98,0.02,Maintain current workflow efficiency
47,Bug Fix,Testing task for Automation Bot project.,Hannah,23/04/2024,27/04/2024,27/04/2024,Completed,Low,2,1,Data Analytics,frontend,High,High,0.57,0.43,Review task dependencies
48,UI Design,Testing task for Data Analytics project.,Alice,12/04/2024,27/04/2024,27/04/2024,Completed,High,5,9,Productivity Suite,testing,Low,Medium,0.29,0.71,Maintain current workflow efficiency
49,UI Design,Bug Fix task for AI Task Manager project.,George,28/12/2024,08/01/2025,08/01/2025,Completed,Low,20,20,Smart Workflow,ML,Low,Low,0.51,0.49,Review task dependencies
50,User Feedback Integration,User Feedback Integration task for AI Task Manager project.,Diana,06/05/2024,30/05/2024,30/05/2024,Completed,Critical,20,22,Smart Workflow,database,High,High,0.81,0.19,Increase resources for faster completion
51,Bug Fix,Bug Fix task for Data Analytics project.,Charlie,01/02/2024,17/02/2024,17/02/2024,Completed,Critical,17,15,Data Analytics,integration,Medium,Medium,0.07,0.93,Reassign to experienced member
52,Backend API,Documentation task for AI Task Manager project.,Diana,18/06/2024,01/07/2024,01/07/2024,Completed,Medium,8,11,Productivity Suite,AI,Low,Low,0.57,0.43,Reassign to experienced member
53,UI Design,Backend API task for Automation Bot project.,Hannah,08/05/2024,27/05/2024,27/05/2024,Completed,Medium,9,7,Data Analytics,AI,High,Medium,0.8,0.2,Maintain current workflow efficiency
54,Data Analysis,Data Analysis task for Productivity Suite project.,Charlie,26/06/2024,20/07/2024,,Completed,Low,10,8,Automation Bot,frontend,Medium,Medium,0.91,0.09,Review task dependencies
55,Backend API,Model Training task for Smart Workflow project.,Ethan,24/06/2024,29/06/2024,29/06/2024,Completed,Critical,6,9,Data Analytics,integration,Low,Low,0.18,0.82,Automate repetitive sub-tasks
56,UI Design,UI Design task for Automation Bot project.,Hannah,06/01/2024,25/01/2024,25/01/2024,Completed,Critical,8,10,Smart Workflow,AI,Medium,Critical,0.72,0.28,Increase resources for faster completion
57,Data Analysis,Data Analysis task for AI Task Manager project.,Hannah,18/06/2024,06/07/2024,06/07/2024,Completed,Critical,12,15,Automation Bot,frontend,Medium,Critical,0.85,0.15,Automate repetitive sub-tasks
58,User Feedback Integration,Backend API task for Automation Bot project.,George,22/12/2024,07/01/2025,,To Do,Critical,11,10,AI Task Manager,testing,High,High,0.1,0.9,Maintain current workflow efficiency
59,Documentation,Model Training task for Data Analytics project.,Diana,21/09/2024,04/10/2024,,In Progress,Critical,20,18,AI Task Manager,ML,High,High,0.64,0.36,Automate repetitive sub-tasks
60,Testing,Data Analysis task for AI Task Manager project.,Hannah,07/05/2024,17/05/2024,17/05/2024,Completed,Low,15,15,Smart Workflow,NLP,High,Low,0.24,0.76,Automate repetitive sub-tasks
61,Documentation,UI Design task for Smart Workflow project.,Fiona,26/11/2024,20/12/2024,,In Progress,Medium,14,19,Smart Workflow,frontend,Low,High,0.46,0.54,Maintain current workflow efficiency
62,Backend API,Bug Fix task for AI Task Manager project.,Diana,07/02/2024,10/02/2024,10/02/2024,Completed,Critical,19,23,Data Analytics,frontend,High,Critical,0.19,0.81,Maintain current workflow efficiency
63,User Feedback Integration,Data Analysis task for AI Task Manager project.,Fiona,25/06/2024,11/07/2024,,On Hold,Critical,15,19,Smart Workflow,ML,High,High,0.45,0.55,Reassign to experienced member
64,Backend API,Testing task for Automation Bot project.,Bob,06/05/2024,16/05/2024,,On Hold,Medium,3,3,Smart Workflow,frontend,Low,Low,0.56,0.44,Maintain current workflow efficiency
65,Bug Fix,User Feedback Integration task for Productivity Suite project.,Fiona,09/01/2024,01/02/2024,01/02/2024,Completed,Low,11,12,Smart Workflow,database,Low,Critical,0.04,0.96,Reassign to experienced member
66,Documentation,User Feedback Integration task for Data Analytics project.,Diana,07/10/2024,20/10/2024,,Completed,Medium,17,15,Data Analytics,database,Medium,Medium,0.04,0.96,Increase resources for faster completion
67,Documentation,UI Design task for Data Analytics project.,Charlie,06/02/2024,13/02/2024,,On Hold,Medium,20,23,Automation Bot,integration,High,Critical,0.71,0.29,Review task dependencies
68,Testing,Backend API task for AI Task Manager project.,Alice,09/08/2024,17/08/2024,17/08/2024,Completed,Critical,9,9,Smart Workflow,integration,Low,Low,0.33,0.67,Review task dependencies
69,UI Design,UI Design task for Smart Workflow project.,Alice,21/02/2024,08/03/2024,08/03/2024,Completed,Medium,2,6,Automation Bot,AI,High,Medium,0.37,0.63,Review task dependencies
70,Backend API,Backend API task for AI Task Manager project.,George,07/06/2024,22/06/2024,22/06/2024,Completed,High,20,19,Automation Bot,integration,Low,Low,0.02,0.98,Automate repetitive sub-tasks
71,Model Training,User Feedback Integration task for Smart Workflow project.,George,24/01/2024,17/02/2024,17/02/2024,Completed,Medium,10,12,Automation Bot,AI,High,Low,0.34,0.66,Maintain current workflow efficiency
72,Bug Fix,Model Training task for Data Analytics project.,Diana,10/03/2024,30/03/2024,30/03/2024,Completed,Low,8,6,Automation Bot,frontend,Medium,High,0.65,0.35,Maintain current workflow efficiency
73,User Feedback Integration,UI Design task for AI Task Manager project.,Charlie,20/07/2024,25/07/2024,25/07/2024,Completed,Medium,4,7,Productivity Suite,testing,Medium,Critical,0.21,0.79,Automate repetitive sub-tasks
74,User Feedback Integration,Testing task for Smart Workflow project.,Charlie,05/08/2024,13/08/2024,13/08/2024,Completed,Critical,12,11,Data Analytics,ML,Low,High,0.06,0.94,Increase resources for faster completion
75,Model Training,Testing task for Automation Bot project.,Fiona,04/08/2024,17/08/2024,,In Progress,High,2,3,Data Analytics,database,Medium,Medium,0.99,0.01,Maintain current workflow efficiency
76,Model Training,Documentation task for Data Analytics project.,Bob,24/05/2024,08/06/2024,08/06/2024,Completed,Low,19,17,Automation Bot,ML,High,Low,0.85,0.15,Review task dependencies
77,Backend API,Backend API task for Data Analytics project.,Diana,18/07/2024,23/07/2024,23/07/2024,Completed,High,17,17,Automation Bot,testing,Low,Critical,0.71,0.29,Maintain current workflow efficiency
78,Data Analysis,Backend API task for Productivity Suite project.,George,13/04/2024,17/04/2024,17/04/2024,Completed,High,4,3,Data Analytics,frontend,Low,Critical,0.74,0.26,Automate repetitive sub-tasks
79,Testing,Model Training task for AI Task Manager project.,Bob,14/06/2024,04/07/2024,04/07/2024,Completed,Critical,11,9,Data Analytics,NLP,Medium,Low,0.1,0.9,Increase resources for faster completion
80,Testing,User Feedback Integration task for Automation Bot project.,Hannah,03/05/2024,21/05/2024,,Completed,Medium,18,17,AI Task Manager,AI,High,Critical,0.55,0.45,Maintain current workflow efficiency
81,Backend API,Documentation task for Smart Workflow project.,Ethan,20/09/2024,07/10/2024,07/10/2024,Completed,High,14,19,Automation Bot,testing,Medium,Medium,0.07,0.93,Maintain current workflow efficiency
82,Documentation,Testing task for AI Task Manager project.,Charlie,06/08/2024,16/08/2024,16/08/2024,Completed,Critical,11,12,Automation Bot,frontend,High,Critical,0.65,0.35,Automate repetitive sub-tasks
83,User Feedback Integration,Model Training task for Automation Bot project.,Alice,13/04/2024,06/05/2024,,Completed,Low,16,16,Data Analytics,AI,Medium,Critical,1,0,Maintain current workflow efficiency
84,Data Analysis,Testing task for Smart Workflow project.,Hannah,14/11/2024,18/11/2024,18/11/2024,Completed,Critical,5,6,Productivity Suite,AI,High,Low,0.13,0.87,Maintain current workflow efficiency
85,UI Design,Model Training task for Productivity Suite project.,Fiona,01/11/2024,07/11/2024,07/11/2024,Completed,Critical,14,12,Smart Workflow,backend,Low,Medium,0.55,0.45,Maintain current workflow efficiency
86,Bug Fix,User Feedback Integration task for Data Analytics project.,Fiona,18/11/2024,01/12/2024,01/12/2024,Completed,High,9,11,AI Task Manager,NLP,High,Critical,0.3,0.7,Reassign to experienced member
87,Testing,Backend API task for Automation Bot project.,Ethan,16/08/2024,27/08/2024,,On Hold,High,4,2,AI Task Manager,database,Low,Critical,0.19,0.81,Increase resources for faster completion
88,Testing,UI Design task for AI Task Manager project.,Hannah,17/07/2024,31/07/2024,31/07/2024,Completed,High,8,8,Smart Workflow,frontend,High,Low,0.07,0.93,Increase resources for faster completion
89,User Feedback Integration,Data Analysis task for Automation Bot project.,Charlie,05/04/2024,28/04/2024,,Completed,High,9,13,AI Task Manager,AI,High,Critical,0.43,0.57,Review task dependencies
90,Testing,Bug Fix task for AI Task Manager project.,Fiona,12/12/2024,31/12/2024,31/12/2024,Completed,Medium,3,4,Data Analytics,frontend,Low,Medium,0.47,0.53,Maintain current workflow efficiency
91,Documentation,Model Training task for Productivity Suite project.,Hannah,16/02/2024,21/02/2024,21/02/2024,Completed,Critical,20,23,Productivity Suite,NLP,Medium,Critical,0.17,0.83,Maintain current workflow efficiency
92,Model Training,Model Training task for Smart Workflow project.,Hannah,05/04/2024,08/04/2024,08/04/2024,Completed,Medium,20,22,Productivity Suite,frontend,High,Medium,0.25,0.75,Increase resources for faster completion
93,Data Analysis,Documentation task for Data Analytics project.,Charlie,19/05/2024,13/06/2024,,To Do,Medium,9,12,AI Task Manager,AI,High,Low,0.19,0.81,Review task dependencies
94,UI Design,UI Design task for Smart Workflow project.,Ethan,14/04/2024,03/05/2024,03/05/2024,Completed,High,13,13,Smart Workflow,testing,High,Low,0.55,0.45,Automate repetitive sub-tasks
95,User Feedback Integration,Data Analysis task for Data Analytics project.,Alice,16/06/2024,22/06/2024,22/06/2024,Completed,Critical,17,17,Automation Bot,AI,High,Low,0.67,0.33,Increase resources for faster completion
96,UI Design,Testing task for Automation Bot project.,George,27/11/2024,19/12/2024,19/12/2024,Completed,Low,14,14,Productivity Suite,database,Low,Medium,0.49,0.51,Increase resources for faster completion
97,Testing,User Feedback Integration task for AI Task Manager project.,Charlie,17/08/2024,31/08/2024,31/08/2024,Completed,Low,17,19,Automation Bot,frontend,High,Low,0.94,0.06,Review task dependencies
98,Backend API,Data Analysis task for Smart Workflow project.,George,12/11/2024,04/12/2024,,On Hold,Medium,9,10,Productivity Suite,database,Low,High,0.09,0.91,Review task dependencies
99,Bug Fix,Bug Fix task for Data Analytics project.,George,01/12/2024,04/12/2024,04/12/2024,Completed,Critical,3,4,Automation Bot,frontend,Low,Critical,0.54,0.46,Maintain current workflow efficiency
100,Documentation,Testing task for AI Task Manager project.,Ethan,06/03/2024,19/03/2024,19/03/2024,Completed,Medium,8,12,Productivity Suite,backend,Medium,High,0.33,0.67,Increase resources for faster completion
101,User Feedback Integration,Documentation task for AI Task Manager project.,George,27/10/2024,20/11/2024,20/11/2024,Completed,Low,6,5,Productivity Suite,backend,Low,Critical,0.75,0.25,Reassign to experienced member
102,Data Analysis,UI Design task for Productivity Suite project.,George,25/05/2024,13/06/2024,13/06/2024,Completed,Critical,4,6,Productivity Suite,AI,Medium,High,0.53,0.47,Review task dependencies
103,UI Design,Testing task for Productivity Suite project.,Ethan,17/04/2024,22/04/2024,22/04/2024,Completed,Medium,14,14,AI Task Manager,ML,Medium,Medium,0.54,0.46,Review task dependencies
104,Bug Fix,Model Training task for Smart Workflow project.,George,10/03/2024,17/03/2024,17/03/2024,Completed,High,8,13,Productivity Suite,frontend,High,Critical,0.21,0.79,Automate repetitive sub-tasks
105,Data Analysis,UI Design task for Automation Bot project.,Hannah,05/07/2024,15/07/2024,15/07/2024,Completed,Medium,15,20,AI Task Manager,ML,High,Critical,0.57,0.43,Reassign to experienced member
106,Testing,User Feedback Integration task for Data Analytics project.,Fiona,09/02/2024,19/02/2024,19/02/2024,Completed,Critical,8,8,Data Analytics,NLP,Medium,Critical,0.63,0.37,Reassign to experienced member
107,Testing,Model Training task for Smart Workflow project.,Diana,22/06/2024,05/07/2024,,To Do,Critical,20,23,AI Task Manager,database,Low,High,0.29,0.71,Maintain current workflow efficiency
108,UI Design,UI Design task for Productivity Suite project.,Bob,07/02/2024,22/02/2024,,In Progress,Critical,9,12,Data Analytics,backend,Medium,Critical,0.83,0.17,Maintain current workflow efficiency
109,UI Design,Bug Fix task for Productivity Suite project.,Charlie,05/07/2024,21/07/2024,21/07/2024,Completed,Medium,20,24,Smart Workflow,frontend,Low,Medium,0.91,0.09,Reassign to experienced member
110,Documentation,Documentation task for Automation Bot project.,Alice,01/06/2024,24/06/2024,24/06/2024,Completed,Critical,15,14,Productivity Suite,frontend,High,Medium,0.96,0.04,Increase resources for faster completion
111,Bug Fix,Documentation task for Automation Bot project.,Charlie,18/09/2024,04/10/2024,,In Progress,Low,20,18,Productivity Suite,frontend,Medium,Critical,0.15,0.85,Reassign to experienced member
112,Bug Fix,Bug Fix task for Automation Bot project.,George,18/08/2024,12/09/2024,12/09/2024,Completed,Critical,5,10,Automation Bot,AI,High,Low,0.42,0.58,Review task dependencies
113,Testing,Model Training task for Automation Bot project.,Alice,13/08/2024,21/08/2024,21/08/2024,Completed,High,9,14,Data Analytics,database,High,Critical,0.49,0.51,Automate repetitive sub-tasks
114,Documentation,Data Analysis task for Smart Workflow project.,Hannah,14/03/2024,03/04/2024,03/04/2024,Completed,Low,4,2,Smart Workflow,database,Low,Low,0.93,0.07,Automate repetitive sub-tasks
115,Data Analysis,User Feedback Integration task for Smart Workflow project.,Alice,01/06/2024,16/06/2024,16/06/2024,Completed,Low,3,5,Automation Bot,database,Low,Critical,0.59,0.41,Automate repetitive sub-tasks
116,Bug Fix,Data Analysis task for Productivity Suite project.,George,20/02/2024,02/03/2024,02/03/2024,Completed,Critical,5,10,AI Task Manager,ML,Medium,Low,0.97,0.03,Review task dependencies
117,Testing,Model Training task for Automation Bot project.,Charlie,01/04/2024,14/04/2024,14/04/2024,Completed,Low,20,22,Data Analytics,testing,Medium,Critical,0.02,0.98,Maintain current workflow efficiency
118,Model Training,UI Design task for Productivity Suite project.,Alice,11/01/2024,27/01/2024,27/01/2024,Completed,Medium,17,16,AI Task Manager,AI,Low,Low,0.65,0.35,Maintain current workflow efficiency
119,UI Design,Testing task for Data Analytics project.,Bob,13/01/2024,02/02/2024,02/02/2024,Completed,Critical,7,10,Smart Workflow,backend,Medium,Medium,0.85,0.15,Increase resources for faster completion
120,Model Training,Backend API task for Smart Workflow project.,Alice,16/07/2024,23/07/2024,23/07/2024,Completed,Medium,14,16,Smart Workflow,frontend,Medium,Critical,0.37,0.63,Maintain current workflow efficiency
121,User Feedback Integration,Bug Fix task for AI Task Manager project.,Bob,05/01/2024,14/01/2024,14/01/2024,Completed,Low,14,13,Data Analytics,integration,High,High,0.18,0.82,Review task dependencies
122,Model Training,Documentation task for Productivity Suite project.,Ethan,28/11/2024,02/12/2024,02/12/2024,Completed,Low,16,14,Automation Bot,frontend,Low,Low,0.95,0.05,Reassign to experienced member
123,Testing,Backend API task for Data Analytics project.,Ethan,07/01/2024,14/01/2024,14/01/2024,Completed,High,16,17,Automation Bot,integration,Low,High,0.92,0.08,Maintain current workflow efficiency
124,Data Analysis,Documentation task for AI Task Manager project.,Diana,03/06/2024,23/06/2024,23/06/2024,Completed,Critical,15,20,Smart Workflow,testing,Low,Critical,0.35,0.65,Increase resources for faster completion
125,Data Analysis,Backend API task for Data Analytics project.,George,26/04/2024,09/05/2024,09/05/2024,Completed,High,13,16,Automation Bot,backend,Low,Medium,0.96,0.04,Automate repetitive sub-tasks
126,Data Analysis,Testing task for AI Task Manager project.,Charlie,07/10/2024,11/10/2024,11/10/2024,Completed,High,2,2,AI Task Manager,frontend,High,Medium,0.81,0.19,Reassign to experienced member
127,Data Analysis,Data Analysis task for Smart Workflow project.,George,24/04/2024,09/05/2024,09/05/2024,Completed,High,5,3,Automation Bot,NLP,High,Medium,0.32,0.68,Review task dependencies
128,Bug Fix,Testing task for Automation Bot project.,Fiona,03/05/2024,15/05/2024,15/05/2024,Completed,High,3,4,Data Analytics,AI,Medium,Critical,0.56,0.44,Maintain current workflow efficiency
129,Documentation,Documentation task for Automation Bot project.,Bob,09/03/2024,29/03/2024,29/03/2024,Completed,Low,8,11,Smart Workflow,AI,Low,Low,0.46,0.54,Maintain current workflow efficiency
130,Bug Fix,Model Training task for Smart Workflow project.,Hannah,21/09/2024,02/10/2024,02/10/2024,Completed,High,16,21,Productivity Suite,integration,Low,High,1,0,Review task dependencies
131,Testing,UI Design task for Productivity Suite project.,Alice,20/08/2024,09/09/2024,09/09/2024,Completed,High,20,24,Automation Bot,integration,High,High,0.87,0.13,Reassign to experienced member
132,UI Design,Bug Fix task for Productivity Suite project.,Fiona,07/01/2024,12/01/2024,12/01/2024,Completed,High,8,12,Data Analytics,integration,High,Low,0.27,0.73,Review task dependencies
133,Backend API,User Feedback Integration task for Smart Workflow project.,Ethan,22/05/2024,02/06/2024,02/06/2024,Completed,Low,4,8,Productivity Suite,frontend,Low,Low,0.11,0.89,Reassign to experienced member
134,Data Analysis,Testing task for Data Analytics project.,Fiona,28/01/2024,08/02/2024,08/02/2024,Completed,Critical,20,21,Data Analytics,NLP,Low,Critical,0.7,0.3,Reassign to experienced member
135,Testing,Documentation task for Smart Workflow project.,Ethan,19/09/2024,14/10/2024,14/10/2024,Completed,Critical,14,18,Productivity Suite,frontend,Low,Medium,0.13,0.87,Automate repetitive sub-tasks
136,Data Analysis,Data Analysis task for Productivity Suite project.,Charlie,03/12/2024,18/12/2024,18/12/2024,Completed,High,10,15,Automation Bot,backend,High,Critical,0.29,0.71,Automate repetitive sub-tasks
137,Backend API,UI Design task for Automation Bot project.,Bob,22/07/2024,14/08/2024,,To Do,High,13,18,Data Analytics,integration,High,High,0.42,0.58,Reassign to experienced member
138,UI Design,Backend API task for Productivity Suite project.,Bob,12/01/2024,25/01/2024,25/01/2024,Completed,High,15,16,Productivity Suite,NLP,High,Medium,0.57,0.43,Automate repetitive sub-tasks
139,Documentation,Model Training task for Productivity Suite project.,Diana,28/06/2024,12/07/2024,12/07/2024,Completed,Critical,10,10,AI Task Manager,database,Low,Medium,0.53,0.47,Maintain current workflow efficiency
140,Backend API,UI Design task for AI Task Manager project.,Hannah,19/06/2024,04/07/2024,04/07/2024,Completed,Critical,6,7,Smart Workflow,database,Low,High,0.05,0.95,Reassign to experienced member
141,User Feedback Integration,Data Analysis task for AI Task Manager project.,Bob,02/05/2024,10/05/2024,10/05/2024,Completed,Critical,14,18,Data Analytics,frontend,High,High,0.35,0.65,Reassign to experienced member
142,Data Analysis,Documentation task for Smart Workflow project.,Diana,04/04/2024,24/04/2024,,To Do,Critical,16,18,Smart Workflow,backend,Medium,High,0.55,0.45,Review task dependencies
143,User Feedback Integration,Data Analysis task for Data Analytics project.,Alice,01/09/2024,05/09/2024,05/09/2024,Completed,Critical,3,4,AI Task Manager,NLP,Medium,Medium,0.74,0.26,Review task dependencies
144,Model Training,UI Design task for Automation Bot project.,Ethan,23/09/2024,29/09/2024,29/09/2024,Completed,Medium,12,14,Smart Workflow,AI,Low,Low,0.99,0.01,Reassign to experienced member
